family,graph_name,n,m,total_time,algorithm_time,bfs_time_total,dfs_time_total,num_iterations,num_augmenting_paths,max_flow,min_cut_value
,simple_v_1,80,300,0.000623,0.001601,0.000178,0.001423,5,20,111,111
,simple_v_10,260,300,0.000201,0.000465,7.5e-05,0.00039,3,3,3,3
,simple_v_11,280,300,0.000258,0.000694,8.8e-05,0.000606,4,4,4,4
,simple_v_12,300,300,0.000273,0.000667,0.000102,0.000565,4,4,4,4
,simple_v_13,320,300,0.000187,0.000514,7.5e-05,0.000439,3,3,3,3
,simple_v_14,340,300,0.000153,0.000347,6.3e-05,0.000283,3,3,3,3
,simple_v_15,360,300,5.6e-05,0.000114,3.2e-05,8.2e-05,1,1,1,1
,simple_v_16,380,300,0.000118,0.000268,5e-05,0.000218,2,2,2,2
,simple_v_17,400,300,5.4e-05,0.000104,2.7e-05,7.6e-05,1,1,1,1
,simple_v_18,420,300,0.000165,0.000327,4.2e-05,0.000284,2,2,2,2
,simple_v_19,440,300,4.9e-05,8.2e-05,2.6e-05,5.6e-05,1,1,1,1
,simple_v_2,100,300,0.000696,0.002363,0.000186,0.002176,6,23,108,108
,simple_v_20,460,300,4.8e-05,7.3e-05,2.6e-05,4.7e-05,1,3,3,3
,simple_v_3,120,300,0.000916,0.00289,0.000293,0.002597,8,17,21,21
,simple_v_4,140,300,0.000595,0.00224,0.000213,0.002028,5,7,7,7
,simple_v_5,160,300,0.000568,0.001701,0.000183,0.001517,6,13,28,28
,simple_v_6,180,300,0.000815,0.002948,0.000258,0.00269,9,15,69,69
,simple_v_7,200,300,0.000274,0.000778,0.000131,0.000647,3,7,7,7
,simple_v_8,220,300,0.000134,0.00032,6.5e-05,0.000255,2,4,4,4
,simple_v_9,240,300,0.000417,0.001474,0.000143,0.00133,6,7,7,7
